price,ttr,cost,n,win,fill,edge_c,ci_lo,ci_hi,t,train_c,test_c,n_test
"[0.80,0.85)","[2,10)",score (harness),2763,0.8429243575823381,0.8537516829533116,-1.9158495634494004,-3.2146411205276846,-0.6170580063711162,-2.891146100060817,-1.7187843733726165,-2.7289719803895998,539
"[0.80,0.85)","[2,10)",real (fee=0),2763,0.8429243575823381,0.8537516829533116,-1.0827325370973482,-2.3809978724785297,0.21553279828383337,-1.6345786337084998,-0.8833655575539473,-1.9053525046382087,539
"[0.80,0.85)","[2,10)","real (fee=0, no slip)",2763,0.8429243575823381,0.8495041621425986,-0.6579804560260584,-1.9563020946224408,0.640341182570324,-0.9932962359305345,-0.4590827338129495,-1.4786641929499063,539
"[0.80,0.85)","[5,15)",score (harness),4597,0.8448988470741788,0.8474900250163149,-1.1481781222572225,-2.166754791986919,-0.12960145252752572,-2.209345486566344,-0.869005148663805,-2.192054797745185,970
"[0.80,0.85)","[5,15)",real (fee=0),4597,0.8448988470741788,0.8474900250163149,-0.25911779421360676,-1.2775501614702696,0.759314573043056,-0.4986698781965564,0.027165563826864896,-1.3295814432989579,970
"[0.80,0.85)","[5,15)","real (fee=0, no slip)",4597,0.8448988470741788,0.8432736567326518,0.16251903415270905,-0.8559380383386841,1.1809761066441022,0.31275884121172576,0.4482768127929421,-0.9059793814432985,970
"[0.80,0.85)","[10,30)",score (harness),13887,0.8440267876431194,0.8402273298768632,-0.5610331689835183,-1.155646641024045,0.033580303057008376,-1.8492766432361791,-0.5577356576514458,-0.5701590271220065,3686
"[0.80,0.85)","[10,30)",real (fee=0),13887,0.8440267876431194,0.8402273298768632,0.3799457766256333,-0.2146506343202831,0.9745421875715498,1.2524126024481352,0.3940172532104818,0.3410029842647978,3686
"[0.80,0.85)","[10,30)","real (fee=0, no slip)",13887,0.8440267876431194,0.836047094404839,0.7979693238280412,0.20336931384981916,1.3925693338062632,2.630324772270095,0.8110969512792869,0.7616386326641355,3686
"[0.80,0.85)","[30,60)",score (harness),35469,0.8328963320082325,0.8369832618624714,-1.3759522837370934,-1.7608292998809585,-0.9910752675932284,-7.006957568479869,-1.7943150141716773,-0.678439868602099,13298
"[0.80,0.85)","[30,60)",real (fee=0),35469,0.8328963320082325,0.8369832618624714,-0.40869298542387833,-0.7935448070315487,-0.02384116381620792,-2.0813816834925083,-0.8205693247936364,0.2780050383516444,13298
"[0.80,0.85)","[30,60)","real (fee=0, no slip)",35469,0.8328963320082325,0.8328191660323099,0.007716597592264855,-0.3771376020296485,0.39257079721417826,0.039298657471933854,-0.404514906860312,0.6950067679350291,13298
"[0.80,0.85)","[60,120)",score (harness),112601,0.8369996714061154,0.8360108935977477,-0.8807506110919032,-1.095423408859552,-0.6660778133242544,-8.041258582632665,-1.4017483983773364,-0.23780903394483216,50402
"[0.80,0.85)","[60,120)",real (fee=0),112601,0.8369996714061154,0.8360108935977477,0.09887778083677362,-0.11578287346700528,0.3135384351405525,0.9028058261787746,-0.4202375038183756,0.739496240228576,50402
"[0.80,0.85)","[60,120)","real (fee=0, no slip)",112601,0.8369996714061154,0.8318516354206446,0.5148035985470836,0.30014162825688057,0.7294655688372865,4.700397145971468,-0.004348944516791295,1.1554680369826609,50402
"[0.80,0.85)","[120,300)",score (harness),298424,0.8327983004047932,0.834305779310645,-1.1418001454502464,-1.2753738077081151,-1.0082264831923777,-16.753955273232865,-0.7297877484147142,-1.5072714820557733,158144
"[0.80,0.85)","[120,300)",real (fee=0),298424,0.8327983004047932,0.834305779310645,-0.15074789058519383,-0.28432009017841675,-0.017175690991970895,-2.2119904984831233,0.2622041987453798,-0.5170527715246724,158144
"[0.80,0.85)","[120,300)","real (fee=0, no slip)",298424,0.8327983004047932,0.8301550042891992,0.26432961155939355,0.1307572845793593,0.39790193853942785,3.87862164670449,0.6772241231822086,-0.10192419566976793,158144
"[0.85,0.90)","[2,10)",score (harness),4060,0.9,0.9016924359605911,-0.7571796664974906,-1.6260271935056032,0.11166786051062215,-1.708061346068072,-0.7228869853840114,-0.892677577238554,820
"[0.85,0.90)","[2,10)",real (fee=0),4060,0.9,0.9016924359605911,-0.1692435960591059,-1.0375586210899974,0.6990714289717856,-0.382017290275421,-0.1423560185185112,-0.27548231707316373,820
"[0.85,0.90)","[2,10)","real (fee=0, no slip)",4060,0.9,0.8972064039408866,0.2793596059113296,-0.5890471240195032,1.1477663358421624,0.6305049783453537,0.3065740740740739,0.17182926829268264,820
"[0.85,0.90)","[5,15)",score (harness),6559,0.9030339990852264,0.8970186568074401,-0.03550456108109723,-0.7316437599941739,0.6606346378319794,-0.09996227928384809,-0.023968507715848505,-0.07339043718852403,1531
"[0.85,0.90)","[5,15)",real (fee=0),6559,0.9030339990852264,0.8970186568074401,0.6015342277786314,-0.09448946774048951,1.2975579232977523,1.693886903249137,0.6122736674622183,0.5662645329849834,1531
"[0.85,0.90)","[5,15)","real (fee=0, no slip)",6559,0.9030339990852264,0.8925558774203385,1.0478121664887936,0.35176793330945133,1.743856399668136,2.950493677653545,1.0585521081941123,1.0125408229915078,1531
"[0.85,0.90)","[10,30)",score (harness),18763,0.8943665725097266,0.8895999898736875,-0.21136727101176933,-0.6448685560268282,0.22213401400328955,-0.9556424700711359,-0.28476859385187087,-0.0310885385104039,5429
"[0.85,0.90)","[10,30)",real (fee=0),18763,0.8943665725097266,0.8895999898736875,0.4766582636039083,0.04314551597701943,0.9101710112307971,2.155030122944302,0.4099908129593593,0.6403981396205631,5429
"[0.85,0.90)","[10,30)","real (fee=0, no slip)",18763,0.8943665725097266,0.8851741192773013,0.919245323242551,0.48573201999856325,1.352758626486539,4.156014852261792,0.8522198890055491,1.0838644317553872,5429
"[0.85,0.90)","[30,60)",score (harness),45388,0.8856746276548868,0.8872011928262977,-0.8620082853482428,-1.1524975584880517,-0.5715190122084339,-5.816067408592471,-1.010966157931614,-0.6108181986031312,16896
"[0.85,0.90)","[30,60)",real (fee=0),45388,0.8856746276548868,0.8872011928262977,-0.15265651714108733,-0.443138318959354,0.13782528467717936,-1.0300172809422836,-0.29561903341288054,0.0884235026041737,16896
"[0.85,0.90)","[30,60)","real (fee=0, no slip)",45388,0.8856746276548868,0.8827872565435799,0.2887371111306948,-0.001744789402502488,0.579219011663892,1.948191394748981,0.14546188403762392,0.530344460227272,16896
"[0.85,0.90)","[60,120)",score (harness),134052,0.8899158535493689,0.8860849111538806,-0.33823717313841617,-0.5052279173896081,-0.1712464288872241,-3.9698767779746142,-0.47677401866120506,-0.17827460186427652,62215
"[0.85,0.90)","[60,120)",real (fee=0),134052,0.8899158535493689,0.8860849111538806,0.3830942395488393,0.21610189645718952,0.5500865826404892,4.496319402887837,0.24710876706990192,0.5401108494736071,62215
"[0.85,0.90)","[60,120)","real (fee=0, no slip)",134052,0.8899158535493689,0.881676528511324,0.823932503804493,0.6569405717115336,0.9909244358974525,9.670395529220702,0.6878140790957301,0.9811026279836046,62215
"[0.85,0.90)","[120,300)",score (harness),265115,0.886905682439696,0.8845249336514341,-0.49394595141651493,-0.614190163465471,-0.37370173936755885,-8.051250524380926,-0.30557302860243774,-0.6512824211722782,144458
"[0.85,0.90)","[120,300)",real (fee=0),265115,0.886905682439696,0.8845249336514341,0.23807487882617787,0.11783273324575497,0.35831702440660074,3.880654208057641,0.4273108605385597,0.08001754835316245,144458
"[0.85,0.90)","[120,300)","real (fee=0, no slip)",265115,0.886905682439696,0.8801243120909794,0.678137034871659,0.5578947279226628,0.7983793418206552,11.053714777835406,0.8673288744125907,0.520116573675393,144458
"[0.90,0.95)","[2,10)",score (harness),7170,0.9481171548117154,0.9466484665271965,-0.1872659323538819,-0.6735358296215967,0.2990039649138331,-0.7547958142039474,-0.07086668847390484,-0.5990835103849399,1580
"[0.90,0.95)","[2,10)",real (fee=0),7170,0.9481171548117154,0.9466484665271965,0.14686882845189306,-0.3392804599579702,0.6330181168617562,0.5921177324488159,0.2609415921288114,-0.2567177215189773,1580
"[0.90,0.95)","[2,10)","real (fee=0, no slip)",7170,0.9481171548117154,0.9419387726638772,0.6178382147838233,0.1316613197662157,1.1040151098014308,2.490740843390207,0.7321466905187854,0.2134177215189893,1580
"[0.90,0.95)","[5,15)",score (harness),11732,0.9415274463007159,0.9422660531026251,-0.44506632627651177,-0.8552890808864473,-0.03484357166657634,-2.126439746785063,-0.06821653603815728,-1.5654064239746204,2953
"[0.90,0.95)","[5,15)",real (fee=0),11732,0.9415274463007159,0.9422660531026251,-0.07386068019092126,-0.4839918268909754,0.33627046650913284,-0.3529706881483954,0.30432093632533125,-1.1981601760921001,2953
"[0.90,0.95)","[5,15)","real (fee=0, no slip)",11732,0.9415274463007159,0.9375781622911695,0.39492840095465553,-0.015219738272476569,0.8050765401817875,1.8872338272297098,0.7730607130652709,-0.7292245174398897,2953
"[0.90,0.95)","[10,30)",score (harness),31471,0.9339709573893425,0.9389987621937657,-0.9032300372538801,-1.1734851505724286,-0.6329749239353313,-6.550471224946516,-0.6846391547606093,-1.4112206569728751,9468
"[0.90,0.95)","[10,30)",real (fee=0),31471,0.9339709573893425,0.9389987621937657,-0.5027804804423031,-0.773019068206203,-0.23254189267840328,-3.6465245107366235,-0.2795294050811166,-1.0216010773130457,9468
"[0.90,0.95)","[10,30)","real (fee=0, no slip)",31471,0.9339709573893425,0.9343271265609607,-0.03561691716183043,-0.3058576232527674,0.23462378892910654,-0.2583173937919828,0.18737899377357742,-0.5538445289395846,9468
"[0.90,0.95)","[30,60)",score (harness),71152,0.936108612547785,0.9383470530694851,-0.6337969368138943,-0.8119864561507002,-0.4556074174770883,-6.971336892213988,-0.4307249620327244,-0.9233933045596545,29328
"[0.90,0.95)","[30,60)",real (fee=0),71152,0.936108612547785,0.9383470530694851,-0.22384405216999392,-0.40202431949688067,-0.04566378484310719,-2.462260760361128,-0.01550242683625806,-0.5209553498363254,29328
"[0.90,0.95)","[30,60)","real (fee=0, no slip)",71152,0.936108612547785,0.9336786597706318,0.24299527771531448,0.06481428502065627,0.42117627040997274,2.6729113226080234,0.45106398240244894,-0.05372681396617467,29328
"[0.90,0.95)","[60,120)",score (harness),188641,0.9406491695866752,0.9370965525522024,-0.06565527484404195,-0.17183284652018757,0.040522296832103656,-1.2119506227934298,0.17776073594966002,-0.31658975489002206,92886
"[0.90,0.95)","[60,120)",real (fee=0),188641,0.9406491695866752,0.9370965525522024,0.3552617034472963,0.2490826848986992,0.46144072199589337,6.557794124719296,0.6013812437992869,0.10154018904894946,92886
"[0.90,0.95)","[60,120)","real (fee=0, no slip)",188641,0.9406491695866752,0.9324343806489575,0.8214788937717679,0.7152999592892075,0.9276578282543281,15.163733315620691,1.0674345987154719,0.5679262752190862,92886
"[0.90,0.95)","[120,300)",score (harness),239491,0.9380436008033705,0.93429731357337,-0.06487509205699568,-0.16115309210734297,0.03140290799335159,-1.320684308863689,-0.012006518242971775,-0.10404096960219913,137574
"[0.90,0.95)","[120,300)",real (fee=0),239491,0.9380436008033705,0.93429731357337,0.37462872300003597,0.2783509802881246,0.47090646571194733,7.626464685859009,0.4303715081880419,0.33333358410746877,137574
"[0.90,0.95)","[120,300)","real (fee=0, no slip)",239491,0.9380436008033705,0.9296490682322089,0.8394532571161335,0.7431755676322247,0.9357309466000423,17.08909052406737,0.8949890597250699,0.7983114541991942,137574
