ts,up_mid_5,up_best_ask_5,up_best_bid_5,down_best_ask_5,down_best_bid_5,up_best_ask_size_5,down_best_ask_size_5,time_to_resolve,spot_last,resolved_outcome,up_mid_15,up_best_ask_15,up_best_bid_15,down_best_ask_15,down_best_bid_15,up_best_ask_size_15,down_best_ask_size_15,asset,end,K5,K15,sig5,sig15,sig_gap,strike_sep
1789247413.1383605,0.505,0.51,0.5,0.5,0.49,95.0,216.93,286.8616394996643,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,274.35,btc,1789247700.0,77227.65,77170.0,0.00024764767294517016,2.9530306804836802e-05,0.00021811736614033337,0.0007467730587755812
1789247414.1384242,0.505,0.51,0.5,0.5,0.49,90.0,392.18,285.8615758419037,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.000248080482439311,2.9581916404063097e-05,0.0002184985660352479,0.0007467730587755812
1789247415.1436493,0.505,0.51,0.5,0.5,0.49,71.06,512.18,284.8563506603241,77231.7,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.0002479057238334877,2.9629265790039853e-05,0.00021827645804344784,0.0007467730587755812
1789247416.139421,0.505,0.51,0.5,0.5,0.49,15.0,597.18,283.86057901382446,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.00024895333436334983,2.9685998081090473e-05,0.00021926733628225935,0.0007467730587755812
1789247417.1386275,0.505,0.51,0.5,0.5,0.49,15.0,597.18,282.8613724708557,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.000249392660000829,2.9738384686252964e-05,0.000219654275314576,0.0007467730587755812
1789247418.138503,0.505,0.51,0.5,0.5,0.49,15.0,597.18,281.861496925354,77231.7,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.00024921927612741137,2.978625930129868e-05,0.00021943301682611269,0.0007467730587755812
1789247419.1381614,0.505,0.51,0.5,0.5,0.49,15.0,597.18,280.86183857917786,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.00025027883357775315,2.9844054880112222e-05,0.0002204347786976409,0.0007467730587755812
1789247420.138516,0.505,0.51,0.5,0.5,0.49,15.0,597.18,279.86148405075073,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.0002507257407896495,2.989734553664714e-05,0.00022082839525300235,0.0007467730587755812
1789247421.1383183,0.505,0.51,0.5,0.5,0.49,15.0,597.18,278.8616816997528,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.0002511748019482536,2.9950893036730665e-05,0.00022122390891152292,0.0007467730587755812
1789247422.1384523,0.505,0.51,0.5,0.5,0.49,15.0,597.18,277.86154770851135,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.00025162643481256146,3.0004747195292095e-05,0.00022162168761726936,0.0007467730587755812
1789247423.138039,0.505,0.51,0.5,0.5,0.49,15.0,597.18,276.86196088790894,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.00025208026359220835,3.0058863201876994e-05,0.00022202140039033136,0.0007467730587755812
1789247424.1381123,0.505,0.51,0.5,0.5,0.49,15.0,597.18,275.86188769340515,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.0002525367794387294,3.0113299622977638e-05,0.00022242347981575177,0.0007467730587755812
1789247425.1382842,0.505,0.51,0.5,0.5,0.49,15.0,597.18,274.8617157936096,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.00025299582997158755,3.0168038288247576e-05,0.00022282779168333996,0.0007467730587755812
1789247426.138512,0.505,0.51,0.5,0.5,0.49,15.0,597.18,273.8614881038666,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,284.35,btc,1789247700.0,77227.65,77170.0,0.0002534574187837262,3.0223079626120966e-05,0.0002232343391576052,0.0007467730587755812
1789247427.1383471,0.515,0.52,0.51,0.49,0.48,367.94,120.0,272.86165285110474,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,135.54,279.35,btc,1789247700.0,77227.65,77170.0,8.462272095532829e-05,3.0278401561284798e-05,5.4344319394043494e-05,0.0007467730587755812
1789247428.1378303,0.515,0.52,0.51,0.49,0.48,410.42,5.0,271.86216974258423,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,130.34,279.35,btc,1789247700.0,77227.65,77170.0,8.477813313643361e-05,3.033400875961048e-05,5.444412437682313e-05,0.0007467730587755812
1789247429.1381202,0.515,0.52,0.51,0.49,0.48,321.29,55.0,270.86187982559204,77231.7,DOWN,0.945,0.95,0.94,0.06,0.05,130.34,279.35,btc,1789247700.0,77227.65,77170.0,8.472533835990726e-05,3.0385046046159854e-05,5.4340292313747404e-05,0.0007467730587755812
1789247430.137902,0.515,0.52,0.51,0.49,0.48,420.06,25.0,269.8620979785919,77231.7,DOWN,0.945,0.95,0.94,0.06,0.05,130.34,279.35,btc,1789247700.0,77227.65,77170.0,8.48821379728715e-05,3.0441279087563585e-05,5.4440858885307914e-05,0.0007467730587755812
1789247431.1382892,0.515,0.52,0.51,0.49,0.48,425.06,46.67,268.86171078681946,77231.71,DOWN,0.945,0.95,0.94,0.06,0.05,125.34,279.35,btc,1789247700.0,77227.65,77170.0,8.524987667347734e-05,3.0502800782453745e-05,5.474707589102359e-05,0.0007467730587755812
1789247432.1388803,0.515,0.52,0.51,0.49,0.48,419.43,66.67,267.86111974716187,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,1263.95,208.49,btc,1789247700.0,77227.65,77170.0,8.540895304820107e-05,2.880759661390238e-05,5.66013564342987e-05,0.0007467730587755812
1789247433.1382456,0.505,0.51,0.5,0.5,0.49,100.0,736.77,266.86175441741943,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,1263.95,208.49,btc,1789247700.0,77227.65,77170.0,0.00025675997285890163,2.886148670873654e-05,0.00022789848615016508,0.0007467730587755812
1789247434.1382236,0.505,0.51,0.5,0.5,0.49,80.0,681.77,265.8617763519287,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,1253.95,208.49,btc,1789247700.0,77227.65,77170.0,0.0002572423915179861,2.8915713695763306e-05,0.00022832667782222277,0.0007467730587755812
1789247435.1379864,0.505,0.51,0.5,0.5,0.49,10.0,676.77,264.8620135784149,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,1253.95,208.49,btc,1789247700.0,77227.65,77170.0,0.0002577274348950183,2.8970235718115554e-05,0.00022875719917690273,0.0007467730587755812
1789247436.1381507,0.515,0.52,0.51,0.49,0.48,135.96,352.27,263.8618493080139,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,1253.95,208.49,btc,1789247700.0,77227.65,77170.0,8.605377710723846e-05,2.9025089402617454e-05,5.7028687704621e-05,0.0007467730587755812
1789247437.138263,0.515,0.52,0.51,0.49,0.48,133.92,299.03,262.86173701286316,77231.7,DOWN,0.955,0.96,0.95,0.05,0.04,1253.95,208.49,btc,1789247700.0,77227.65,77170.0,8.600497408141848e-05,2.907554246215489e-05,5.6929431619263595e-05,0.0007467730587755812
1789247438.1384678,0.515,0.52,0.51,0.49,0.48,123.92,253.27,261.8615322113037,77231.7,DOWN,0.955,0.96,0.95,0.05,0.04,1173.95,208.49,btc,1789247700.0,77227.65,77170.0,8.616906958824154e-05,2.9131017926538678e-05,5.703805166170286e-05,0.0007467730587755812
1789247439.1384766,0.515,0.52,0.51,0.49,0.48,77.0,446.47,260.8615233898163,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,1173.95,213.49,btc,1789247700.0,77227.65,77170.0,8.654724048853156e-05,2.919152972912516e-05,5.7355710759406404e-05,0.0007467730587755812
1789247440.138203,0.515,0.52,0.51,0.49,0.48,166.58,303.53,259.8617970943451,77231.7,DOWN,0.955,0.96,0.95,0.05,0.04,113.95,273.49,btc,1789247700.0,77227.65,77170.0,8.64999860174401e-05,2.9242890231499536e-05,5.7257095785940565e-05,0.0007467730587755812
1789247441.138657,0.515,0.52,0.51,0.49,0.48,147.0,442.42,258.8613429069519,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,113.95,273.49,btc,1789247700.0,77227.65,77170.0,8.688096545975154e-05,2.930409186702499e-05,5.757687359272655e-05,0.0007467730587755812
1789247442.1380262,0.515,0.52,0.51,0.49,0.48,47.0,542.42,257.8619737625122,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,33.95,245.95,btc,1789247700.0,77227.65,77170.0,8.704916046671015e-05,2.9360822382269708e-05,5.768833808444044e-05,0.0007467730587755812
1789247443.1385372,0.515,0.52,0.51,0.49,0.48,47.0,537.42,256.8614628314972,77231.7,DOWN,0.955,0.96,0.95,0.05,0.04,33.95,245.95,btc,1789247700.0,77227.65,77170.0,8.700371162548144e-05,2.9413183815821947e-05,5.7590527809659486e-05,0.0007467730587755812
1789247444.138225,0.515,0.52,0.51,0.49,0.48,47.0,542.42,255.86177492141724,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,33.95,250.95,btc,1789247700.0,77227.65,77170.0,8.738875137753686e-05,2.9475363043684e-05,5.791338833385286e-05,0.0007467730587755812
1789247445.1384568,0.515,0.52,0.51,0.49,0.48,47.0,542.42,254.86154317855835,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,13.5,270.95,btc,1789247700.0,77227.65,77170.0,8.7560066767768e-05,2.9533146033398756e-05,5.8026920734369244e-05,0.0007467730587755812
1789247446.1386247,0.515,0.52,0.51,0.49,0.48,45.07,542.42,253.86137533187866,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,13.5,270.95,btc,1789247700.0,77227.65,77170.0,8.773238261464353e-05,2.9591266467262076e-05,5.814111614738146e-05,0.0007467730587755812
1789247447.1380944,0.535,0.54,0.53,0.47,0.46,297.34,535.48,252.86190557479858,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,13.5,270.95,btc,1789247700.0,77227.65,77170.0,3.763430058928668e-05,2.9649690467752882e-05,7.9846101215338e-06,0.0007467730587755812
1789247448.13931,0.535,0.54,0.53,0.47,0.46,57.0,878.5,251.86069011688232,77231.7,DOWN,0.955,0.96,0.95,0.05,0.04,13.5,270.95,btc,1789247700.0,77227.65,77170.0,3.761615279086413e-05,2.970375255033579e-05,7.91240024052834e-06,0.0007467730587755812
1789247449.1380055,0.535,0.54,0.53,0.47,0.46,1053.32,602.52,250.8619945049286,77231.7,DOWN,0.955,0.96,0.95,0.05,0.04,13.5,270.95,btc,1789247700.0,77227.65,77170.0,3.769095442009608e-05,2.9762819970053615e-05,7.928134450042468e-06,0.0007467730587755812
1789247450.1380575,0.535,0.54,0.53,0.47,0.46,1573.77,567.99,249.86194252967834,77231.71,DOWN,0.955,0.96,0.95,0.05,0.04,13.5,270.95,btc,1789247700.0,77227.65,77170.0,3.785955426665112e-05,2.9827153625191762e-05,8.03240064145936e-06,0.0007467730587755812
1789247451.1380742,0.535,0.54,0.53,0.47,0.46,1567.77,476.65,248.8619258403778,77231.7,DOWN,0.955,0.96,0.95,0.05,0.04,13.5,270.95,btc,1789247700.0,77227.65,77170.0,3.784210980183458e-05,2.9882180450131796e-05,7.959929351702782e-06,0.0007467730587755812
