slug,asset,horizon,outcome,gross,fees,net,n_fills,bought,sold,orders,fill_rate,inv_up,inv_down
btc-updown-15m-1789246800,btc,15m,DOWN,-12.0,0.0,-12.0,24.0,1000.0,1200.0,74.0,0.2972972972972973,-100.0,-100.0
btc-updown-15m-1789247700,btc,15m,UP,-74.00661634,0.0,-74.00661634,14.0,437.79999999999995,634.530817,81.0,0.16049382716049382,-289.23081700000006,92.5
btc-updown-15m-1789248600,btc,15m,UP,-64.09879999999998,0.0,-64.09879999999998,19.0,611.66,1000.0,109.0,0.1559633027522936,-300.0,-88.34
btc-updown-15m-1789249500,btc,15m,UP,-36.50299999999999,0.0,-36.50299999999999,8.0,200.0,422.1,70.0,0.1,-122.10000000000001,-100.0
btc-updown-15m-1789251300,btc,15m,DOWN,138.23742013999993,0.0,138.23742013999993,22.0,556.05,832.12788,111.0,0.15315315315315314,-246.25,-29.827879999999993
btc-updown-5m-1789246500,btc,5m,UP,-25.100151450000013,0.0,-25.100151450000013,16.0,300.0,965.8102620000001,91.0,0.16483516483516483,-337.875893,-327.93436900000006
btc-updown-5m-1789246800,btc,5m,UP,-54.87037120999999,0.0,-54.87037120999999,37.0,700.0,1287.4485689999995,107.0,0.18691588785046728,-387.44856899999996,-200.0
btc-updown-5m-1789247100,btc,5m,UP,-42.23999999999998,0.0,-42.23999999999998,15.0,200.0,822.48,119.0,0.09243697478991597,-322.47999999999996,-300.0
btc-updown-5m-1789247400,btc,5m,DOWN,-91.7715,0.0,-91.7715,17.0,475.43,1100.0,172.0,0.09302325581395349,-324.57,-300.0
btc-updown-5m-1789247700,btc,5m,UP,-3.047299229999993,0.0,-3.047299229999993,16.0,100.0,722.9556430000001,68.0,0.1323529411764706,-300.0,-322.955643
btc-updown-5m-1789248000,btc,5m,UP,-10.000000000000025,0.0,-10.000000000000025,43.0,200.0,800.0,150.0,0.06666666666666667,-300.00000000000006,-300.0
btc-updown-5m-1789248300,btc,5m,UP,-56.934139990000006,0.0,-56.934139990000006,31.0,551.02,1287.7207240000002,121.0,0.1652892561983471,-348.98,-387.7207239999999
btc-updown-5m-1789248600,btc,5m,UP,-29.06287214000002,0.0,-29.06287214000002,19.0,509.88,1096.627271,99.0,0.1717171717171717,-286.74727100000007,-300.0
btc-updown-5m-1789248900,btc,5m,UP,-52.81794079999999,0.0,-52.81794079999999,23.0,209.62,808.0229400000001,102.0,0.11764705882352941,-308.02293999999995,-290.38
btc-updown-5m-1789249200,btc,5m,UP,-47.09016448000003,0.0,-47.09016448000003,45.0,700.0,1338.3317639999998,139.0,0.15827338129496402,-338.331764,-300.0
btc-updown-5m-1789249500,btc,5m,UP,-58.44357,0.0,-58.44357,41.0,1400.0,1907.667,180.0,0.18888888888888888,-307.66700000000003,-200.0
btc-updown-5m-1789249800,btc,5m,DOWN,-106.88039932000001,0.0,-106.88039932000001,12.0,0.0,503.84461799999997,25.0,0.24,-124.004618,-379.8399999999999
btc-updown-5m-1789250700,btc,5m,DOWN,-113.15659999999997,0.0,-113.15659999999997,26.0,795.26,1301.36,143.0,0.15384615384615385,-201.36,-304.74
btc-updown-5m-1789251000,btc,5m,DOWN,-21.186399999999992,0.0,-21.186399999999992,27.0,500.0,1108.1399999999999,132.0,0.12878787878787878,-300.0,-308.14
btc-updown-5m-1789251300,btc,5m,UP,-20.999999999999996,0.0,-20.999999999999996,10.0,100.0,700.0,101.0,0.07920792079207921,-300.0,-300.0
btc-updown-5m-1789251600,btc,5m,UP,-69.58019988000001,0.0,-69.58019988000001,19.0,581.74,1102.2514290000001,145.0,0.1310344827586207,-300.2,-220.311429
btc-updown-5m-1789251900,btc,5m,DOWN,-95.57595983999998,0.0,-95.57595983999998,28.0,300.0,1009.9899669999999,91.0,0.17582417582417584,-385.244167,-324.74580000000003
btc-updown-5m-1789252200,btc,5m,UP,-44.17419994000001,0.0,-44.17419994000001,24.0,600.0,1222.4424139999999,138.0,0.14492753623188406,-300.0,-322.442414
btc-updown-5m-1789252500,btc,5m,UP,-10.000000000000007,0.0,-10.000000000000007,11.0,200.0,800.0,104.0,0.09615384615384616,-300.0,-300.0
doge-updown-15m-1789246800,doge,15m,UP,-28.000000000000004,0.0,-28.000000000000004,1.0,0.0,100.0,74.0,0.013513513513513514,-100.0,0.0
doge-updown-15m-1789247700,doge,15m,DOWN,-0.01493482000000001,0.0,-0.01493482000000001,1.0,0.0,0.06493400000000005,164.0,0.006097560975609756,0.0,-0.06493400000000005
doge-updown-15m-1789248600,doge,15m,DOWN,23.35000004,0.0,23.35000004,3.0,0.0,202.692308,119.0,0.025210084033613446,-202.692308,0.0
doge-updown-15m-1789249500,doge,15m,DOWN,-14.306328880000004,0.0,-14.306328880000004,3.0,0.0,201.392404,100.0,0.03,-100.0,-101.392404
doge-updown-15m-1789250400,doge,15m,DOWN,-171.0,0.0,-171.0,2.0,0.0,200.0,127.0,0.015748031496062992,0.0,-200.0
doge-updown-15m-1789251300,doge,15m,UP,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
doge-updown-5m-1789246500,doge,5m,DOWN,-29.000000000000004,0.0,-29.000000000000004,1.0,0.0,100.0,76.0,0.013157894736842105,0.0,-100.0
doge-updown-5m-1789246800,doge,5m,UP,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0
doge-updown-5m-1789247100,doge,5m,UP,-158.20592322,0.0,-158.20592322,4.0,0.0,304.085043,115.0,0.034782608695652174,-304.085043,0.0
doge-updown-5m-1789247400,doge,5m,DOWN,123.879592,0.0,123.879592,5.0,0.0,306.0204,176.0,0.022727272727272728,-200.0,-106.0204
doge-updown-5m-1789247700,doge,5m,DOWN,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0
doge-updown-5m-1789248300,doge,5m,DOWN,-59.491071749999996,0.0,-59.491071749999996,4.0,0.0,305.535715,238.0,0.01680672268907563,-100.0,-205.53571499999998
doge-updown-5m-1789248600,doge,5m,DOWN,-0.8000000000000002,0.0,-0.8000000000000002,1.0,0.0,5.0,140.0,0.007142857142857143,0.0,-5.0
doge-updown-5m-1789248900,doge,5m,DOWN,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0
doge-updown-5m-1789249200,doge,5m,UP,-76.0,0.0,-76.0,1.0,0.0,100.0,206.0,0.0048543689320388345,-100.0,0.0
doge-updown-5m-1789249500,doge,5m,DOWN,17.0,0.0,17.0,3.0,0.0,300.0,190.0,0.015789473684210527,-200.0,-100.0
doge-updown-5m-1789249800,doge,5m,UP,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
doge-updown-5m-1789250100,doge,5m,DOWN,36.7168,0.0,36.7168,3.0,0.0,202.24,108.0,0.027777777777777776,-202.24,0.0
doge-updown-5m-1789250400,doge,5m,UP,-130.0,0.0,-130.0,4.0,0.0,400.0,131.0,0.030534351145038167,-200.0,-200.0
doge-updown-5m-1789250700,doge,5m,DOWN,187.81157845,0.0,187.81157845,4.0,0.0,303.473685,174.0,0.022988505747126436,-300.0,-3.4736849999999997
doge-updown-5m-1789251000,doge,5m,DOWN,-11.275000000000006,0.0,-11.275000000000006,6.0,0.0,419.375,201.0,0.024875621890547265,-200.0,-219.375
doge-updown-5m-1789251300,doge,5m,UP,-38.902074999999996,0.0,-38.902074999999996,4.0,0.0,372.8275,72.0,0.05555555555555555,-300.0,-72.8275
doge-updown-5m-1789251600,doge,5m,UP,-17.59420256,0.0,-17.59420256,5.0,100.0,311.231883,131.0,0.03816793893129771,-111.23188299999998,-100.0
doge-updown-5m-1789251900,doge,5m,DOWN,-17.221600000000002,0.0,-17.221600000000002,5.0,216.88,0.0,143.0,0.03496503496503497,216.88,0.0
doge-updown-5m-1789252200,doge,5m,DOWN,-38.00000000000001,0.0,-38.00000000000001,2.0,0.0,200.0,127.0,0.015748031496062992,-100.0,-100.0
eth-updown-15m-1789246800,eth,15m,UP,-0.013130999999999997,0.0,-0.013130999999999997,1.0,0.0,1.3130999999999986,32.0,0.03125,-1.3130999999999986,0.0
eth-updown-15m-1789247700,eth,15m,DOWN,-44.000000000000014,0.0,-44.000000000000014,11.0,200.0,800.0,205.0,0.04878048780487805,-300.0,-300.0
eth-updown-15m-1789248600,eth,15m,DOWN,-43.16500000000002,0.0,-43.16500000000002,14.0,221.5,900.0,134.0,0.08955223880597014,-300.0,-378.5
eth-updown-15m-1789249500,eth,15m,DOWN,127.0,0.0,127.0,3.0,0.0,300.0,151.0,0.019867549668874173,-300.0,0.0
eth-updown-15m-1789250400,eth,15m,DOWN,-103.6805,0.0,-103.6805,6.0,129.95,400.0,143.0,0.04195804195804196,29.950000000000003,-300.0
eth-updown-15m-1789251300,eth,15m,DOWN,52.65714212,0.0,52.65714212,4.0,0.0,327.142858,70.0,0.05714285714285714,-200.0,-127.14285799999999
eth-updown-5m-1789246500,eth,5m,DOWN,-115.0,0.0,-115.0,6.0,100.0,500.0,95.0,0.06315789473684211,-100.0,-300.0
eth-updown-5m-1789246800,eth,5m,UP,99.24310000000001,0.0,99.24310000000001,8.0,4.99,605.0,138.0,0.057971014492753624,-300.01,-300.0
eth-updown-5m-1789247100,eth,5m,UP,-179.18996857,0.0,-179.18996857,12.0,300.0,470.396288,103.0,0.10679611650485436,-304.639343,134.243055
eth-updown-5m-1789247400,eth,5m,DOWN,-27.824549999999988,0.0,-27.824549999999988,8.0,100.0,601.1949999999999,158.0,0.05063291139240506,-200.0,-301.195
eth-updown-5m-1789247700,eth,5m,DOWN,-136.29294075000004,0.0,-136.29294075000004,11.0,0.0,448.82720800000004,90.0,0.08888888888888889,-148.28666700000002,-300.540541
eth-updown-5m-1789248000,eth,5m,DOWN,76.0,0.0,76.0,4.0,0.0,400.0,227.0,0.01762114537444934,-300.0,-100.0
eth-updown-5m-1789248300,eth,5m,UP,-5.0,0.0,-5.0,13.0,100.0,700.0,147.0,0.05442176870748299,-300.0,-300.0
eth-updown-5m-1789248600,eth,5m,UP,-53.64999976,0.0,-53.64999976,7.0,0.0,516.111112,146.0,0.0410958904109589,-300.0,-216.111112
eth-updown-5m-1789248900,eth,5m,UP,-102.0,0.0,-102.0,4.0,0.0,300.0,88.0,0.03409090909090909,-300.0,0.0
eth-updown-5m-1789249200,eth,5m,DOWN,-136.67777788,0.0,-136.67777788,14.0,300.0,730.277778,108.0,0.1111111111111111,-100.0,-330.277778
eth-updown-5m-1789249500,eth,5m,DOWN,-15.975652479999997,0.0,-15.975652479999997,8.0,0.0,606.173914,168.0,0.041666666666666664,-300.0,-306.17391399999997
eth-updown-5m-1789249800,eth,5m,DOWN,-106.0,0.0,-106.0,3.0,0.0,300.0,35.0,0.08571428571428572,0.0,-300.0
eth-updown-5m-1789250100,eth,5m,UP,-82.28655122000002,0.0,-82.28655122000002,8.0,0.0,499.19310099999996,105.0,0.0761904761904762,-383.616487,-115.576614
eth-updown-5m-1789250400,eth,5m,DOWN,-148.0,0.0,-148.0,7.0,100.0,500.0,99.0,0.06060606060606061,-100.0,-300.0
