scope,horizon_s,n,markout_c,t
all prints,1,13609,0.34024175178190924,9.000941659788808
all prints,5,13609,0.2647071790726725,5.757457928955744
all prints,15,13602,0.30999485369798574,3.887618636744982
all prints,30,13543,0.07760835856161909,0.6362152081180947
all prints,60,13356,-0.1710205151242885,-0.9235019966355664
asset=btc,1,12043,0.3060283982396416,7.665549431235009
asset=btc,5,12043,0.2604666611309476,5.419688687661813
asset=btc,15,12037,0.307825870233447,3.6966853976486047
asset=btc,30,12012,0.1063020313020317,0.815460807182553
asset=btc,60,11941,-0.13865672891717643,-0.7080194484306891
asset=eth,1,794,0.6711586901763225,3.3873470358160955
asset=eth,5,794,0.33992443324937033,1.5152876260216919
asset=eth,15,793,0.808827238335435,2.1654599732581876
asset=eth,30,760,-0.07315789473684185,-0.14772696930722343
asset=eth,60,684,-1.1416666666666662,-1.3727822724959147
asset=sol,1,380,0.28184210526315795,1.8782187257301812
asset=sol,5,380,0.4163157894736842,1.2681905888845468
asset=sol,15,380,-0.5348684210526313,-0.9679607676343169
asset=sol,30,379,0.25646437994722937,0.35453695913456323
asset=sol,60,362,-0.8075966850828725,-0.7311836647068656
asset=xrp,1,251,0.7296812749003987,2.798299514935077
asset=xrp,5,251,0.02270916334661297,0.06252220074205503
asset=xrp,15,251,0.1442231075697209,0.18563083567875927
asset=xrp,30,251,-0.9356573705179286,-1.0941218833180615
asset=xrp,60,231,1.5645021645021642,1.0142219725027115
horizon=15m,1,822,-0.028892944038929474,-0.14923113439076513
horizon=15m,5,822,-0.5019464720194646,-1.9866839151796356
horizon=15m,15,822,-0.9430048661800485,-1.9908528850592078
horizon=15m,30,822,-1.072080291970803,-1.6642593410731295
horizon=15m,60,822,-2.370863746958638,-3.0774328731907077
horizon=5m,1,12787,0.36397122077109595,9.515614230267364
horizon=5m,5,12787,0.3139907718776884,6.807078918849147
horizon=5m,15,12780,0.390586854460094,4.933855579166853
horizon=5m,30,12721,0.15189843565757427,1.2350028318655566
horizon=5m,60,12534,-0.02675123663634886,-0.14028541606438402
ttr=<30s,1,543,0.8158379373848987,5.704297750696907
ttr=<30s,5,543,-0.4392265193370169,-2.3910669783853673
ttr=<30s,15,537,-1.6173184357541903,-5.218764560124177
ttr=<30s,30,479,-1.9290187891440504,-5.25218766581376
ttr=<30s,60,447,-1.702460850111857,-5.4811285088436446
ttr=30-60s,1,1408,0.5768821022727277,4.432450987327144
ttr=30-60s,5,1408,0.06526988636363697,0.3074775065240907
ttr=30-60s,15,1408,-0.09264914772727212,-0.3081615779724726
ttr=30-60s,30,1408,-0.9740056818181813,-2.793102423212944
ttr=30-60s,60,1260,-1.5828571428571425,-3.5195582133876284
ttr=60-120s,1,2610,-0.05919540229885051,-0.8122194604593198
ttr=60-120s,5,2610,-0.07452107279693501,-0.5475418069957512
ttr=60-120s,15,2610,-0.04666666666666707,-0.22375912654535793
ttr=60-120s,30,2610,-0.5213793103448272,-2.0142721791743625
ttr=60-120s,60,2610,-1.8811494252873553,-5.396110422154393
ttr=120-300s,1,8062,0.4238402381543045,7.904037145149258
ttr=120-300s,5,8062,0.48816670801290024,9.814857689898467
ttr=120-300s,15,8062,0.6758248573554948,6.695351174608001
ttr=120-300s,30,8062,0.5980339866038207,3.427309125066406
ttr=120-300s,60,8062,0.7224323989084588,2.631890510672649
ttr=>300s,1,697,0.17575322812051658,3.57764923035106
ttr=>300s,5,697,0.016499282639885225,0.17810648080979907
ttr=>300s,15,697,-0.18149210903873728,-1.4683080058962334
ttr=>300s,30,697,-0.2424677187948348,-1.3525227966885542
ttr=>300s,60,697,-0.7352941176470584,-2.7416397160955595
