slug,asset,horizon,outcome,net,gross,fees,n_fills,sold_up,sold_down,pairs,naked,fill_rate,orders,mean_ask_sum
btc-updown-15m-1789246800,btc,15m,DOWN,-21.0,-21.0,0.0,10.0,200.0,200.0,200.0,0.0,0.3333333333333333,24.0,1.0102222222222221
btc-updown-15m-1789247700,btc,15m,UP,-12.099999999999998,-12.099999999999998,0.0,10.0,200.0,182.5,182.5,17.5,0.26666666666666666,30.0,1.01
btc-updown-15m-1789248600,btc,15m,UP,-12.999999999999996,-12.999999999999996,0.0,19.0,350.0,300.0,300.0,50.0,0.26,50.0,1.01
btc-updown-15m-1789249500,btc,15m,UP,-17.503,-17.503,0.0,6.0,122.1,100.0,100.0,22.099999999999994,0.19230769230769232,26.0,1.01
btc-updown-15m-1789251300,btc,15m,DOWN,-41.47707986,-41.47707986,0.0,12.0,200.0,232.12788,200.0,32.127880000000005,0.2564102564102564,39.0,1.01
btc-updown-5m-1789246500,btc,5m,UP,-41.67028631999999,-41.67028631999999,0.0,26.0,520.714288,427.934369,427.934369,92.779919,0.4117647058823529,51.0,1.01
btc-updown-5m-1789246800,btc,5m,UP,-38.40758084999999,-38.40758084999999,0.0,32.0,543.417565,500.0,500.0,43.41756499999997,0.3888888888888889,54.0,1.0100000000000002
btc-updown-5m-1789247100,btc,5m,UP,-8.0,-8.0,0.0,27.0,500.0,500.0,500.0,0.0,0.37037037037037035,54.0,1.0102439024390244
btc-updown-5m-1789247400,btc,5m,DOWN,-9.999999999999996,-9.999999999999996,0.0,41.0,500.00000000000006,510.0,500.00000000000006,9.999999999999943,0.5384615384615384,39.0,1.010294117647059
btc-updown-5m-1789247700,btc,5m,UP,-32.04729922999999,-32.04729922999999,0.0,41.0,500.00000000000006,422.95564299999995,422.95564299999995,77.0443570000001,0.4634146341463415,41.0,1.0101666666666667
btc-updown-5m-1789248000,btc,5m,UP,-5.999999999999993,-5.999999999999993,0.0,45.0,500.0,500.00000000000006,500.0,5.684341886080802e-14,0.6451612903225806,31.0,1.0105797101449279
btc-updown-5m-1789248300,btc,5m,UP,-23.440539539999993,-23.440539539999993,0.0,30.0,550.0,530.989541,530.989541,19.01045899999997,0.6571428571428571,35.0,1.010125
btc-updown-5m-1789248600,btc,5m,UP,-9.500000000000007,-9.500000000000007,0.0,29.0,500.0,500.0,500.0,0.0,0.5263157894736842,38.0,1.0106730769230767
btc-updown-5m-1789248900,btc,5m,UP,-18.23734079999999,-18.23734079999999,0.0,25.0,508.02294,509.15,508.02294,1.1270599999999718,0.4791666666666667,48.0,1.0103649635036496
btc-updown-5m-1789249200,btc,5m,UP,-19.000000000000014,-19.000000000000014,0.0,41.0,500.0,500.0,500.0,0.0,0.5882352941176471,34.0,1.010789473684211
btc-updown-5m-1789249500,btc,5m,UP,-19.98591956999998,-19.98591956999998,0.0,25.0,517.030847,533.229292,517.030847,16.198444999999992,0.575,40.0,1.0106578947368423
btc-updown-5m-1789249800,btc,5m,DOWN,-30.258799319999998,-30.258799319999998,0.0,7.0,74.004618,150.0,74.004618,75.995382,0.45454545454545453,11.0,1.0102777777777778
btc-updown-5m-1789250700,btc,5m,DOWN,-37.500000000000014,-37.500000000000014,0.0,21.0,500.0,500.0,500.0,0.0,0.40816326530612246,49.0,1.0110714285714288
btc-updown-5m-1789251000,btc,5m,DOWN,56.975882059999975,56.975882059999975,0.0,25.0,500.0,416.294118,416.294118,83.70588199999997,0.25,76.0,1.0102222222222221
btc-updown-5m-1789251300,btc,5m,UP,-43.908591,-43.908591,0.0,23.0,541.3299999999999,452.32095,452.32095,89.00904999999995,0.3230769230769231,65.0,1.01
btc-updown-5m-1789251600,btc,5m,UP,-20.185333229999998,-20.185333229999998,0.0,29.0,532.283334,511.714287,511.714287,20.569046999999955,0.36507936507936506,63.0,1.0104964539007093
btc-updown-5m-1789251900,btc,5m,DOWN,-37.575959839999996,-37.575959839999996,0.0,31.0,385.24416699999995,424.74580000000003,385.24416699999995,39.50163300000008,0.34615384615384615,52.0,1.0100555555555555
