ms,resp_c,t,n,pct_of_final
25,0.6003055905087182,40.61815878781288,11126,13.570215096209276
50,1.0261690647482016,51.13424063378291,11120,23.197076878641465
100,1.7918315940985967,61.27576943347982,11116,40.50527020329053
200,3.0309120403749104,71.54741509512817,11096,68.51531782458177
300,3.742282000361077,73.50607840253033,11078,84.5961998330492
500,4.36366919465511,71.98578477417085,11076,98.64297537191126
750,4.78728782954135,74.9934857527582,11076,108.21909141190564
1000,4.910978692668834,69.3991470940083,11076,111.01518667507537
1500,4.694284940411702,62.800991039493546,11076,106.1167135063647
2000,4.810752979414951,59.863174066018615,11076,108.74953313372885
3000,4.423699891657638,69.38116408520969,11076,100.0
