fixture,event_id,ttr,move_bps,p_fair,side,p_win,ask,edge,won,res_outcome,btc,first_btc,ttr_bucket,move_bucket,edge_bucket,ask_bucket
20260609_152746_20260609_162822_BTC5M.parquet,573002,126.00288772583008,15.024708945285646,0.9411993426854784,UP,0.9411993426854784,0.26,0.6811993426854784,False,DOWN,61478.3,61386.0,"(120, 160]","(15, 20]","(0.5, 1.0]","(0.2, 0.3]"
20260609_162822_20260609_172858_BTC5M.parquet,573189,67.8674647808075,6.083750307560204,0.8238919599968365,UP,0.8238919599968365,0.51,0.3138919599968365,True,UP,61050.0,61012.87,"(40, 80]","(6, 10]","(0.3, 0.35]","(0.5, 0.7]"
20260609_162822_20260609_172858_BTC5M.parquet,573194,198.42955088615417,12.215313631271554,0.8589683026899942,UP,0.8589683026899942,0.6,0.25896830268999427,True,UP,61100.0,61025.41,"(160, 200]","(10, 15]","(0.25, 0.3]","(0.5, 0.7]"
20260609_162822_20260609_172858_BTC5M.parquet,573216,110.00934839248657,8.325863773817574,0.16821123500361235,DOWN,0.8317887649963877,0.36,0.47178876499638767,True,DOWN,61085.34,61136.22,"(80, 120]","(6, 10]","(0.4, 0.5]","(0.3, 0.5]"
20260609_223156_20260609_233232_BTC5M.parquet,574251,86.66622185707092,11.333954386520222,0.9258682591592247,UP,0.9258682591592247,0.67,0.2558682591592246,True,UP,61787.5,61717.51,"(80, 120]","(10, 15]","(0.25, 0.3]","(0.5, 0.7]"
20260610_033425_20260610_043501_BTC5M.parquet,575092,80.39555096626282,7.578602759210347,0.853431605178142,UP,0.853431605178142,0.46,0.39343160517814196,True,UP,61538.61,61491.99,"(80, 120]","(6, 10]","(0.35, 0.4]","(0.3, 0.5]"
20260610_033425_20260610_043501_BTC5M.parquet,575099,207.04811787605286,8.124623947656135,0.24443053561532488,DOWN,0.7555694643846751,0.5,0.2555694643846751,True,DOWN,61504.01,61554.0,"(200, 240]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260610_033425_20260610_043501_BTC5M.parquet,575116,172.45253205299377,7.235435505777117,0.2496402546377793,DOWN,0.7503597453622207,0.5,0.2503597453622207,True,DOWN,61466.8,61511.29,"(160, 200]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260610_033425_20260610_043501_BTC5M.parquet,575133,76.93363809585571,6.100698467885735,0.19830800001848883,DOWN,0.8016919999815112,0.5,0.3016919999815112,False,UNKNOWN,61466.01,61503.52,"(40, 80]","(6, 10]","(0.3, 0.35]","(0.3, 0.5]"
20260610_033425_20260610_043501_BTC5M.parquet,575147,236.62793040275574,9.112363848457404,0.23408020267009108,DOWN,0.7659197973299089,0.5,0.2659197973299089,False,UNKNOWN,61416.0,61471.99,"(200, 240]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260610_043501_20260610_053537_BTC5M.parquet,575248,122.01432418823242,6.335146078163682,0.2410808170669843,DOWN,0.7589191829330157,0.5,0.25891918293301575,True,DOWN,61242.01,61280.82,"(120, 160]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260610_073647_20260610_083723_BTC5M.parquet,575564,87.31076383590698,6.802027982183561,0.8207384142326217,UP,0.8207384142326217,0.57,0.2507384142326218,False,DOWN,61782.0,61739.99,"(80, 120]","(6, 10]","(0.25, 0.3]","(0.5, 0.7]"
20260610_083723_20260610_093759_BTC5M.parquet,575702,111.77751183509827,7.2191874102011795,0.8067211589130157,UP,0.8067211589130157,0.44,0.36672115891301565,False,DOWN,61247.83,61203.63,"(80, 120]","(6, 10]","(0.35, 0.4]","(0.3, 0.5]"
20260610_103835_20260610_113910_BTC5M.parquet,576050,78.81110215187073,7.353675356141546,0.15853581940430772,DOWN,0.8414641805956923,0.44,0.4014641805956923,True,DOWN,61348.11,61393.24,"(40, 80]","(6, 10]","(0.4, 0.5]","(0.3, 0.5]"
20260610_103835_20260610_113910_BTC5M.parquet,576056,226.49675011634827,7.211459977523015,0.27821408299566913,DOWN,0.7217859170043308,0.43,0.2917859170043308,False,UP,60992.0,61036.0,"(200, 240]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260610_123946_20260610_133951_BTC5M.parquet,576409,125.00624108314514,7.07920439803954,0.7903501593424663,UP,0.7903501593424663,0.51,0.2803501593424663,True,UP,61539.99,61496.44,"(120, 160]","(6, 10]","(0.25, 0.3]","(0.5, 0.7]"
20260610_123946_20260610_133951_BTC5M.parquet,576431,235.6093635559082,20.59584026394959,0.9415719409286477,UP,0.9415719409286477,0.65,0.2915719409286477,True,UP,61881.99,61754.67,"(200, 240]","(20, 30]","(0.25, 0.3]","(0.5, 0.7]"
20260610_133951_20260610_144007_BTC5M.parquet,576445,224.96211314201355,18.611226430240652,0.07482473079394711,DOWN,0.9251752692060529,0.66,0.26517526920605283,False,UP,62269.99,62385.99,"(200, 240]","(15, 20]","(0.25, 0.3]","(0.5, 0.7]"
20260610_133951_20260610_144007_BTC5M.parquet,576511,189.13289594650269,7.251621412999237,0.7521265525664609,UP,0.7521265525664609,0.46,0.29212655256646086,False,DOWN,62050.0,62005.02,"(160, 200]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260610_133951_20260610_144007_BTC5M.parquet,576530,101.2770516872406,8.245118389831722,0.16102573314277835,DOWN,0.8389742668572217,0.56,0.2789742668572216,True,DOWN,62096.0,62147.22,"(80, 120]","(6, 10]","(0.25, 0.3]","(0.5, 0.7]"
20260610_154042_20260610_164118_BTC5M.parquet,576687,117.76965856552124,6.1338664015969355,0.7663367162683928,UP,0.7663367162683928,0.43,0.33633671626839284,True,UP,62279.99,62241.8,"(80, 120]","(6, 10]","(0.3, 0.35]","(0.3, 0.5]"
20260610_154042_20260610_164118_BTC5M.parquet,576706,236.0426788330078,8.023750731367704,0.7501960138914852,UP,0.7501960138914852,0.49,0.26019601389148517,True,UP,62340.0,62290.0,"(200, 240]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260610_164118_20260610_174153_BTC5M.parquet,577100,188.04525065422058,13.385194871317355,0.12216680824807007,DOWN,0.87783319175193,0.55,0.32783319175192993,True,DOWN,61818.0,61900.8,"(160, 200]","(10, 15]","(0.3, 0.35]","(0.5, 0.7]"
20260610_174153_20260610_184229_BTC5M.parquet,577122,94.06484985351562,6.1231546674485235,0.7897278353254183,UP,0.7897278353254183,0.34,0.4497278353254183,False,DOWN,61735.45,61697.66,"(80, 120]","(6, 10]","(0.4, 0.5]","(0.3, 0.5]"
20260610_204341_20260610_214416_BTC5M.parquet,577541,68.35451102256775,6.460163681679935,0.8362894197795397,UP,0.8362894197795397,0.19,0.6462894197795397,False,DOWN,61876.0,61836.04,"(40, 80]","(6, 10]","(0.5, 1.0]","(0.1, 0.2]"
20260610_214416_20260610_224452_BTC5M.parquet,577695,58.85790514945984,11.286439418467042,0.04801923697954343,DOWN,0.9519807630204565,0.46,0.4919807630204565,True,DOWN,61614.42,61684.0,"(40, 80]","(10, 15]","(0.4, 0.5]","(0.3, 0.5]"
20260610_214416_20260610_224452_BTC5M.parquet,577893,107.5625581741333,7.952530784159103,0.17610439198009722,DOWN,0.8238956080199028,0.49,0.3338956080199028,True,DOWN,61226.59,61275.3,"(80, 120]","(6, 10]","(0.3, 0.35]","(0.3, 0.5]"
20260610_214416_20260610_224452_BTC5M.parquet,577929,41.55504631996155,6.005902746965886,0.13227322789799667,DOWN,0.8677267721020033,0.52,0.3477267721020033,True,DOWN,61238.01,61274.8,"(40, 80]","(6, 10]","(0.3, 0.35]","(0.5, 0.7]"
20260610_234528_20260611_004604_BTC5M.parquet,578099,94.48855233192444,6.092401169860698,0.7881641259631487,UP,0.7881641259631487,0.46,0.32816412596314865,False,DOWN,61538.0,61500.52,"(80, 120]","(6, 10]","(0.3, 0.35]","(0.3, 0.5]"
20260611_044756_20260611_054831_BTC5M.parquet,578832,105.29772138595581,6.05287920690511,0.23500473688617649,DOWN,0.7649952631138235,0.06,0.7049952631138234,False,UP,62728.01,62765.99,"(80, 120]","(6, 10]","(0.5, 1.0]","(0.0, 0.1]"
20260611_085017_20260611_095052_BTC5M.parquet,579405,76.32043552398682,6.542296448859247,0.18149558280753408,DOWN,0.8185044171924659,0.49,0.3285044171924659,True,DOWN,62831.99,62873.11,"(40, 80]","(6, 10]","(0.3, 0.35]","(0.3, 0.5]"
20260611_105128_20260611_115204_BTC5M.parquet,579635,177.61798095703125,6.065351371761994,0.2882294326876737,DOWN,0.7117705673123262,0.12,0.5917705673123262,False,UP,63044.0,63082.25,"(160, 200]","(6, 10]","(0.5, 1.0]","(0.1, 0.2]"
20260611_115204_20260611_125240_BTC5M.parquet,579886,232.56250023841858,11.519188668331216,0.17953020544480836,DOWN,0.8204697945551916,0.56,0.2604697945551916,False,UP,62624.58,62696.76,"(200, 240]","(10, 15]","(0.25, 0.3]","(0.5, 0.7]"
20260611_125240_20260611_135316_BTC5M.parquet,579931,73.19541120529175,9.891600400098174,0.08776419128918439,DOWN,0.9122358087108156,0.34,0.5722358087108155,True,DOWN,62961.69,63024.0,"(40, 80]","(6, 10]","(0.5, 1.0]","(0.3, 0.5]"
20260611_125240_20260611_135316_BTC5M.parquet,580049,70.3106210231781,6.693647045414853,0.8409774136068466,UP,0.8409774136068466,0.54,0.3009774136068466,True,UP,62782.01,62740.0,"(40, 80]","(6, 10]","(0.3, 0.35]","(0.5, 0.7]"
20260611_145352_20260611_155428_BTC5M.parquet,580239,169.04956483840942,8.502335703277947,0.21221892078110177,DOWN,0.7877810792188982,0.5,0.2877810792188982,False,UP,62662.01,62715.31,"(160, 200]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
